,voltage,current,duty
1083,34048.0,3247.0,490
1084,31371.0,3463.0,532
1085,35136.0,2756.0,492
1086,33785.0,3294.0,487
1087,32980.0,3385.0,487
1088,32527.0,3406.0,506
1089,33919.0,3262.0,512
1090,33774.0,3294.0,489
1091,32467.0,3424.0,534
1092,34184.0,3211.0,508
1093,33839.0,3269.0,502
1094,32539.0,3411.0,533
1095,34159.0,3383.0,469
1096,32676.0,3522.0,491
1097,32751.0,3512.0,490
1098,32490.0,3541.0,505
1099,32437.0,3547.0,507
1100,33404.0,3468.0,503
1101,33065.0,3490.0,510
1102,33536.0,3461.0,490
1103,33731.0,3443.0,507
1104,35157.0,3055.0,494
1105,33150.0,3487.0,497
1106,32638.0,3533.0,506
1107,32954.0,3520.0,509
1108,35394.0,2809.0,489
1109,33387.0,3457.0,494
1110,32678.0,3524.0,506
1111,32696.0,3532.0,511
1112,35341.0,2855.0,490
1113,33869.0,3399.0,491
1114,32660.0,3521.0,511
1115,35290.0,2903.0,491
1116,34094.0,3381.0,490
1117,32751.0,3505.0,507
1118,33528.0,3452.0,518
1119,33888.0,3411.0,490
1120,31506.0,3579.0,510
1121,33421.0,3220.0,498
1122,32181.0,3333.0,515
1123,34201.0,3097.0,507
1124,33409.0,3159.0,499
1125,32574.0,3312.0,512
1126,32386.0,3327.0,515
1127,32447.0,3307.0,526
1128,33023.0,3260.0,519
1129,33492.0,3229.0,478
1130,32382.0,3327.0,495
1131,32567.0,3298.0,509
1132,35005.0,2673.0,493
1133,33095.0,3301.0,488
1134,32780.0,3338.0,489
1135,32528.0,3343.0,493
1136,32391.0,3342.0,495
